,adjective,type,url
65,herzergreifend,attributive,https://www.lovelybooks.de/autor/Michelle-Schrenk/Kein-Horizont-ohne-Licht-1644386335-w/rezension/1651767302/
66,tiefgründig,attributive,https://www.lovelybooks.de/autor/Michelle-Schrenk/Kein-Horizont-ohne-Licht-1644386335-w/rezension/1651767302/
67,emotional,attributive,https://www.lovelybooks.de/autor/Michelle-Schrenk/Kein-Horizont-ohne-Licht-1644386335-w/rezension/1651767302/
68,gefühlvoll,attributive,https://www.lovelybooks.de/autor/Michelle-Schrenk/Kein-Horizont-ohne-Licht-1644386335-w/rezension/1651767302/
69,richtig,predicative,https://www.lovelybooks.de/autor/Fletcher-Moss/Der-Giftschmecker-1103353280-w/rezension/1108860480/
70,neu,attributive,https://www.lovelybooks.de/autor/Bettina-Kiraly/Zwei-Wochen-Ibiza-1648582182-w/rezension/1651074014/
71,gut,attributive,https://www.lovelybooks.de/autor/Bettina-Kiraly/Zwei-Wochen-Ibiza-1648582182-w/rezension/1651074014/
72,gut,attributive,https://www.lovelybooks.de/autor/Bettina-Kiraly/Zwei-Wochen-Ibiza-1648582182-w/rezension/1651074014/
73,geeignet,predicative,https://www.lovelybooks.de/autor/Sina-Trelde/Islandhof-Hohensonne-3-Die-Suche-nach-Njála-2569669233-w/rezension/2694347204/
74,final,attributive,https://www.lovelybooks.de/autor/Christina-Lauren/Beautiful-1428532254-w/rezension/1460473259/
75,alt,attributive,https://www.lovelybooks.de/autor/Lin-Rina/Animant-Crumbs-Staubchronik-1495521478-w/rezension/2430098105/
76,ganz,attributive,https://www.lovelybooks.de/autor/Sebastian-Fitzek/Der-Augensammler-11621180972-w/rezension/1166771647/
77,schön,attributive,https://www.lovelybooks.de/autor/George-Gaio-Mano/Der-fränkische-Uhrmacher-2703658990-w/rezension/5441338708/
78,positiv,attributive,https://www.lovelybooks.de/autor/George-Gaio-Mano/Der-fränkische-Uhrmacher-2703658990-w/rezension/5441338708/
79,anderer,attributive,https://www.lovelybooks.de/autor/George-Gaio-Mano/Der-fränkische-Uhrmacher-2703658990-w/rezension/5441338708/
80,interessant,attributive,https://www.lovelybooks.de/autor/Gretchen-Rubin/The-Happiness-Project-455278030-w/rezension/955119590/
81,anderer,attributive,https://www.lovelybooks.de/autor/Alden-Bell/Nach-dem-Ende-489418807-w/rezension/964282189/
82,hübsch,predicative,https://www.lovelybooks.de/autor/Alexandra-Flint/Maple-Creek-Reihe-Band-1-Meet-Me-in-Maple-Creek-4628959522-w/rezension/7078840885/
83,toll,attributive,https://www.lovelybooks.de/autor/Peter-Mohlin/Der-andere-Sohn-2698795305-w/rezension/2829026734/
84,spannend,attributive,https://www.lovelybooks.de/autor/Peter-Mohlin/Der-andere-Sohn-2698795305-w/rezension/2829026734/
85,erster,attributive,https://www.lovelybooks.de/autor/Peter-Mohlin/Der-andere-Sohn-2698795305-w/rezension/2829026734/
86,zweiter,attributive,https://www.lovelybooks.de/autor/Dana-Müller--Braun-/The-Run-1-Die-Prüfung-der-Götter-2800927606-w/rezension/3091627249/
87,nett,attributive,https://www.lovelybooks.de/autor/Verena-Keßler/Gym-18538223870-w/rezension/21854760540/
88,lesenswert,attributive,https://www.lovelybooks.de/autor/Katharina-Seck/Was-wir-nicht-kommen-sahen-13151524496-w/rezension/16065118793/
89,schlecht,predicative,https://www.lovelybooks.de/autor/L.A.-Weatherly/Dämonen-des-Lichts-820312666-w/rezension/1139279192/
90,wunderbar,attributive,https://www.lovelybooks.de/autor/Dörte-Hansen/Zur-See-4938590262-w/rezension/8244861675/
91,voll,predicative,https://www.lovelybooks.de/autor/Gerhard-Zallinger/Die-Macht-in-dir-Wie-der-Körper-sich-selbst-heilt-2438197267-w/rezension/2616968428/
92,ganz,attributive,https://www.lovelybooks.de/autor/Gerhard-Zallinger/Die-Macht-in-dir-Wie-der-Körper-sich-selbst-heilt-2438197267-w/rezension/2616968428/
93,anderer,attributive,https://www.lovelybooks.de/autor/Kathrin-Lange/Die-Fabelmacht-Chroniken-Die-Fabelmacht-Chroniken-1-Flammende-Zeichen-1469342156-w/rezension/1497513850/
94,zweiter,attributive,https://www.lovelybooks.de/autor/K.-R.-Winter/Maris-Kalea-Die-Sehnsucht-in-mir-2795807099-w/rezension/2825140327/
